date,shop,items,cost,method,category,notes
30-Sep,National Rail,Bath -> Bristol rtn,£5.80,Halifax debit,travel,,,,,
30-Sep,Coffee house,Hot choc,£2.00,cash,food,,,,,
30-Sep,Waitrose,Food,£1.99,cash,food,,,,,
02-Oct,Boulangerie,Carrot cake,£0.70,cash,food,,,,,
02-Oct,Sainsbury's,Food,£10.10,cash,food,,,,,
04-Oct,Watershed,Cinephiles,£2.50,cash,education,
05-Oct,Undercover Rock,Climbing,£6.00,cash,sport,
05-Oct,Sainsbury's,Food,£13.53,cash,food,
05-Oct,Welsh Back,PSL Match,£6.00,cash,entertainment,
07-Oct,Welsh Back,Squash,£5.00,cash,sport,
08-Oct,Sainsbury's,Food,£7.58,cash,food,
08-Oct,Sue & Jesse Burrows,Rent weekly,£90.00,cash,accom,
10-Oct,New Inn,Coke,£1.20,cash,food,
11-Oct,Sainsbury's,Food,£14.65,Halifax debit,food,
12-Oct,Waitrose,Food,£3.94,cash,food,
13-Oct,Welsh Back,Squash,£5.00,cash,sport,
14-Oct,Sainsbury's,Food,£10.86,Halifax debit,food,
15-Oct,TCA,Climbing,£5.50,cash,sport,
15-Oct,Sue & Jesse Burrows,Rent weekly,£90.00,cash,accom,
17-Oct,Watershed,La regle du jeu,£0.00,Loyalty card,entertainment,Loyalty card ~£0.85
17-Oct,Wilkinson,Shampoo + bubble wrap,£3.54,cash,hygiene,
17-Oct,Sainsbury's,Onion,£0.19,cash,food,,,,
18-Oct,Sainsbury's,Food,£7.19,Halifax debit,food,,,,
18-Oct,Waitrose,Food,£0.73,cash,food,,,,
19-Oct,Sainsbury's,Food,£7.37,cash,food,,,,
19-Oct,Waitrose,Mince,£1.49,cash,food,,,,
20-Oct,Watershed,Il Gattopardo,£4.50,cash,entertainment,Loyalty card ~£1.30,,,
20-Oct,YHA,Hot choc + Twix,£2.55,cash,food,,,,
22-Oct,Sainsbury's,Food,£23.57,Halifax debit,food,,,,
22-Oct,Sue & Jesse Burrows,Rent weekly,£90.00,cash,accom,,,,
